AC.MX,ALPEKA.MX,ALSEA.MX,AMXL.MX,ASURB.MX,BBAJIOO.MX,BIMBOA.MX,BOLSAA.MX,BSMXB.MX,CEMEXCPO.MX,CUERVO.MX,GAPB.MX,GCARSOA1.MX,GCC.MX,GENTERA.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,IENOVA.MX,KIMBERA.MX,KOF,LABB.MX,LIVEPOLC-1.MX,MEGACPO.MX,MXCHF,OMAB.MX,PE&OLES.MX,PINFRA.MX,RA.MX,TLEVISACPO.MX
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.041667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.916667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.541667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.708333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.625,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.75,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.958333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,12.041667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,12.,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.875,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.541667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.25,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,11.,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.166667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.125,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.666667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.5,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.541667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.416667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.541667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.625,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.041667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.291667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.166667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.5,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.041667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.708333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.625,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.958333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.875,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.75,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.125,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.125,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.708333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.083333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.75,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.166667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.958333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.125,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.666667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.958333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.833333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.958333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.916667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.916667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.833333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.708333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.708333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.666667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.083333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,7.583333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.541667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.833333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.041667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.333333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.583333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.166667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.833333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.75,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.708333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.5,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.166667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.791667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.75,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.916667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.083333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.041667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.958333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.208333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.416667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.5,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.541667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.583333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.458333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.416667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.375,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.375,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.125,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.125,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.125,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.125,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,10.083333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.916667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.833333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.666667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.208333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.375,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.291667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.25,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.541667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.333333,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.625,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.375,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.375,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.541667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.291667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.541667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.375,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.416667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.75,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,8.916667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.416667,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.25,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
16.,27.950001,2.89777,2.18133,12.8,30.139999,5.025,16.49,29.98,8.7897,35.43,30.200001,6.43722,7.,26.49,3.535,4.81591,9.17251,38.66,12.3,9.,8.335,18.4,37.,3.77,29.440001,25.,2.02,32.07,33.099998
